from,to,value
1,1,0.0
1,2,3453.0599999999995
1,3,98.60000000000036
1,4,0.0
1,5,1065.8999999999996
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1065.8999999999996
5,5,0.0
